Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Search_Volume_Category,Product_Category,Competition_Category,normalized_searches,normalized_competition,Opportunity_Score,Opportunity_Category
sling bag men coach,INR,50,0.0,0.0,High,86.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.86,-34.3994,Low Opportunity
coach purse bookbag,INR,5000,0.0,0.0,High,100.0,49.64,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach purse cost,INR,5000,0.0,0.0,High,95.0,36.8,149.77,Moderate Visits,handbags_purses,High,0.001,0.95,-37.940000000000005,Low Opportunity
coach crossbody purse and wallet set,INR,50,0.0,0.0,High,95.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.95,-37.9994,Low Opportunity
coach white small purse,INR,50,0.0,0.0,High,100.0,17.97,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach two tone crossbody bag,INR,50,0.0,0.0,Medium,44.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.44,-17.599400000000003,Low Opportunity
coach grey tote,INR,500,0.0,9.0,High,89.0,,,Least Frequently Visited,handbags_purses,High,0.0001,0.89,-35.594,Low Opportunity
coach small side purse,INR,50,0.0,0.0,High,96.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.96,-38.3994,Low Opportunity
next coach outlet sale,INR,500,0.0,0.0,High,100.0,34.58,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
men's coach pouch,INR,50,0.0,0.0,High,99.0,94.14,149.77,Least Frequently Visited,general_coach,High,1e-05,0.99,-39.5994,Low Opportunity
coach men's wristlet,INR,50,0.0,0.0,Medium,45.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.45,-17.9994,Low Opportunity
white coach backpack purse,INR,50,0.0,0.0,Medium,50.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.5,-19.9994,Low Opportunity
white coach sling bag,INR,50,0.0,0.0,High,80.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.8,-31.999400000000005,Low Opportunity
white coach purse outlet,INR,50,0.0,0.0,High,87.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.87,-34.799400000000006,Low Opportunity
coach small wallet purse,INR,50,0.0,0.0,High,100.0,57.34,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
grey coach bags,INR,5000,0.0,0.0,High,100.0,26.53,117.25,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach messenger bag for women,INR,500,0.0,0.0,High,100.0,29.95,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach red leather crossbody bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach black bag tote,INR,50,0.0,0.0,High,100.0,112.97,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach pink and white purse,INR,500,0.0,0.0,High,100.0,34.86,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
silver coach crossbody,INR,50,0.0,0.0,High,89.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.89,-35.5994,Low Opportunity
coach tote black bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach monogram backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach cross body bag brown,INR,50,0.0,0.0,High,74.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.74,-29.5994,Low Opportunity
coach plus size shirts,INR,50,0.0,0.0,High,87.0,,,Least Frequently Visited,general_coach,High,1e-05,0.87,-34.799400000000006,Low Opportunity
coach sale us,INR,5000,0.0,0.0,High,100.0,17.97,142.06,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
compact wallet coach,INR,50,0.0,0.0,High,92.0,,,Least Frequently Visited,wallets,High,1e-05,0.92,-36.799400000000006,Low Opportunity
coach backpack purple,INR,500,0.0,0.0,High,100.0,17.97,73.6,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
coach small chain bag,INR,50,0.0,0.0,High,85.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.85,-33.9994,Low Opportunity
brown and white coach purse,INR,500,0.0,0.0,High,99.0,,,Least Frequently Visited,handbags_purses,High,0.0001,0.99,-39.594,Low Opportunity
ltr fover clt xbdy,INR,50,0.0,0.0,Low,25.0,,,Least Frequently Visited,other,Low,1e-05,0.25,-9.9994,Low Opportunity
cute coach backpacks,INR,50,0.0,0.0,High,69.0,,,Least Frequently Visited,backpacks,High,1e-05,0.69,-27.599399999999996,Low Opportunity
coach outlet green crossbody,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach black backpack women's,INR,50,0.0,0.0,High,86.0,,,Least Frequently Visited,backpacks,High,1e-05,0.86,-34.3994,Low Opportunity
coach women's apparel,INR,500,0.0,0.0,High,100.0,45.36,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
men's coach mini backpack,INR,50,0.0,0.0,High,67.0,,,Least Frequently Visited,backpacks,High,1e-05,0.67,-26.799400000000002,Low Opportunity
coach merchandise,INR,50,0.0,0.0,High,100.0,127.52,149.77,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
tienda coach miami,INR,50,0.0,0.0,High,100.0,28.24,111.26,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach camouflage wallet,INR,500,0.0,0.0,High,100.0,27.39,131.8,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
white and brown coach bag,INR,500,0.0,0.0,High,99.0,,,Least Frequently Visited,handbags_purses,High,0.0001,0.99,-39.594,Low Opportunity
crossbody outlet,INR,50,0.0,0.0,High,100.0,34.23,116.39,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
light blue coach purse crossbody,INR,500,0.0,0.0,High,100.0,16.26,49.64,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach round crossbody,INR,50,0.0,0.0,High,71.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.71,-28.399399999999996,Low Opportunity
small coach bag with chain,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
small backpack purse coach,INR,50,0.0,0.0,Medium,50.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.5,-19.9994,Low Opportunity
coach c wallet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach multi color crossbody,INR,50,0.0,0.0,High,96.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.96,-38.3994,Low Opportunity
coach signature bag crossbody,INR,50,0.0,0.0,High,100.0,38.66,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet spring bags,INR,50,0.0,0.0,High,99.0,54.6,256.74,Least Frequently Visited,handbags_purses,High,1e-05,0.99,-39.5994,Low Opportunity
coach sling men,INR,500,0.0,0.0,High,100.0,130.94,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach men's formal shoes,INR,50,,0.0,Medium,38.0,,,Least Frequently Visited,shoes,Medium,1e-05,0.38,-15.199400000000002,Low Opportunity
pink tote coach,INR,50,9.0,9.0,High,100.0,22.25,66.75,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag crossbody black,INR,5000,0.0,0.0,High,100.0,74.46,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach new crossbody,INR,50,0.0,9.0,High,100.0,55.63,149.77,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach tote monogram,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet coach reserve,INR,50,0.0,0.0,High,100.0,176.3,256.74,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach crossbody purse pink,INR,5000,0.0,9.0,High,100.0,15.4,58.2,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach multi color bag,INR,50,0.0,0.0,High,92.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.92,-36.799400000000006,Low Opportunity
men coach cross bag,INR,50,0.0,0.0,High,69.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.69,-27.599399999999996,Low Opportunity
brown coach tote purse,INR,500,0.0,0.0,High,100.0,25.67,99.27,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
brown coach shoes men,INR,500,9.0,0.0,High,100.0,,,Least Frequently Visited,shoes,High,0.0001,1.0,-39.994,Low Opportunity
coach wallet sling bag,INR,50,0.0,0.0,Medium,54.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.54,-21.599400000000003,Low Opportunity
coach brand wallet,INR,50,0.0,0.0,High,100.0,43.65,149.77,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach blue and white purse,INR,500,0.0,0.0,High,100.0,52.2,84.73,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
white and tan coach purse,INR,500,0.0,9.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
show me coach wallets,INR,50,0.0,0.0,High,75.0,10.7,128.37,Least Frequently Visited,wallets,High,1e-05,0.75,-29.999400000000005,Low Opportunity
blue coach backpack purse,INR,50,0.0,0.0,Low,13.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.13,-5.199400000000001,Low Opportunity
coach black canvas bag,INR,5000,0.0,0.0,High,100.0,94.14,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody with flowers,INR,50,0.0,0.0,High,91.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.91,-36.39940000000001,Low Opportunity
coach bolsas outlet,INR,50,0.0,0.0,High,76.0,32.52,239.63,Least Frequently Visited,general_coach,High,1e-05,0.76,-30.399400000000004,Low Opportunity
coach outlet clearance sale 2020,INR,50,0.0,,Low,0.0,,,Least Frequently Visited,general_coach,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach brown and black crossbody,INR,500,0.0,0.0,High,91.0,,,Least Frequently Visited,crossbody_bags,High,0.0001,0.91,-36.394000000000005,Low Opportunity
coach side,INR,500,0.0,0.0,High,91.0,54.77,149.77,Least Frequently Visited,general_coach,High,0.0001,0.91,-36.394000000000005,Low Opportunity
coach crossbody bag purple,INR,500,0.0,0.0,High,100.0,14.55,40.15,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach vertical wallet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack sling,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach square crossbody,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach multicolor handbag,INR,500,9.0,9.0,High,100.0,19.68,107.83,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bags clearance online,INR,50,0.0,,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach light blue handbag,INR,5000,0.0,0.0,High,100.0,21.7,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
white and pink coach purse,INR,500,0.0,0.0,High,100.0,34.86,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach flower crossbody bag,INR,50,0.0,0.0,Medium,51.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.51,-20.3994,Low Opportunity
coach pink zip wallet,INR,50,0.0,0.0,High,93.0,,,Least Frequently Visited,wallets,High,1e-05,0.93,-37.199400000000004,Low Opportunity
men coach satchel,INR,50,0.0,0.0,Low,13.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.13,-5.199400000000001,Low Opportunity
coach coral crossbody bag,INR,50,0.0,0.0,Medium,43.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.43,-17.1994,Low Opportunity
la tienda coach,INR,50,0.0,0.0,High,88.0,,,Least Frequently Visited,general_coach,High,1e-05,0.88,-35.199400000000004,Low Opportunity
coach outlet la,INR,5000,0.0,0.0,High,100.0,26.53,106.12,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small leather backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach combo deals,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach mens wallet with zipper,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
small blue coach wallet,INR,50,0.0,0.0,High,91.0,,,Least Frequently Visited,wallets,High,1e-05,0.91,-36.39940000000001,Low Opportunity
coach outlet purple wallet,INR,50,0.0,0.0,High,100.0,95.0,221.66,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach crossbody purse brown,INR,500,0.0,0.0,High,100.0,20.54,69.32,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach gold crossbody,INR,50,-0.9,0.0,High,82.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.82,-32.7994,Low Opportunity
coach crossbody bag clearance,INR,500,-0.9,0.0,High,92.0,23.96,126.21,Least Frequently Visited,handbags_purses,High,0.0001,0.92,-36.794000000000004,Low Opportunity
coach shoes men sale,INR,500,0.0,0.0,High,100.0,43.65,256.74,Least Frequently Visited,shoes,High,0.0001,1.0,-39.994,Low Opportunity
all black coach wallet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach new york wallet mens,INR,50,0.0,0.0,High,100.0,97.56,149.77,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach red wallet small,INR,500,0.0,0.0,High,88.0,,,Least Frequently Visited,wallets,High,0.0001,0.88,-35.194,Low Opportunity
coach men's flight crossbody bag,INR,50,0.0,0.0,Medium,38.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.38,-15.199400000000002,Low Opportunity
thick strap coach purse,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach bags on sale online outlet,INR,50,0.0,,High,83.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.83,-33.199400000000004,Low Opportunity
small coach tote purse,INR,5000,0.0,0.0,High,100.0,26.53,121.53,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach peach purse,INR,50,0.0,0.0,High,75.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.75,-29.999400000000005,Low Opportunity
coach black wallet men,INR,5000,0.0,9.0,High,100.0,21.4,89.0,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach backpack white and brown,INR,50,0.0,0.0,Medium,57.0,,,Least Frequently Visited,backpacks,Medium,1e-05,0.57,-22.7994,Low Opportunity
coach sale crossbody bags,INR,50,0.0,0.0,Low,17.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.17,-6.7994,Low Opportunity
5696 coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
a coach wallet,INR,50,0.0,0.0,High,74.0,,,Least Frequently Visited,wallets,High,1e-05,0.74,-29.5994,Low Opportunity
backpack mini coach,INR,50,0.0,0.0,Medium,44.0,,,Least Frequently Visited,backpacks,Medium,1e-05,0.44,-17.599400000000003,Low Opportunity
bag tote coach,INR,50000,0.0,0.0,High,100.0,77.88,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
big coach tote,INR,500,0.0,0.0,High,100.0,51.0,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
black and blue coach backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
black and brown coach backpack,INR,50,0.0,0.0,High,72.0,,,Least Frequently Visited,backpacks,High,1e-05,0.72,-28.7994,Low Opportunity
black and brown coach wallet,INR,500,0.0,0.0,High,91.0,23.11,71.89,Least Frequently Visited,wallets,High,0.0001,0.91,-36.394000000000005,Low Opportunity
black and white coach backpack,INR,50,0.0,-0.9,High,81.0,,,Least Frequently Visited,backpacks,High,1e-05,0.81,-32.39940000000001,Low Opportunity
black and white coach wallet,INR,50,0.0,-0.9,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
black coach backpack women,INR,50,-0.9,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
black coach bag men,INR,50,0.0,0.0,High,84.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.84,-33.5994,Low Opportunity
black coach bag tote,INR,50,-0.9,0.0,High,100.0,146.34,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
black coach zip wallet,INR,50,-0.9,0.0,High,97.0,,,Least Frequently Visited,wallets,High,1e-05,0.97,-38.7994,Low Opportunity
black square coach purse,INR,50,0.0,0.0,High,95.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.95,-37.9994,Low Opportunity
blue coach mini backpack,INR,50,0.0,0.0,Low,30.0,,,Least Frequently Visited,backpacks,Low,1e-05,0.3,-11.9994,Low Opportunity
bolsas coach outlet usa,INR,50,0.0,0.0,High,100.0,65.9,173.73,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
box crossbody bag coach,INR,50,0.0,0.0,Low,0.0,,,Least Frequently Visited,handbags_purses,,1e-05,0.0,0.0006000000000000001,Low Opportunity
brown leather coach crossbody bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
burgundy coach tote bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
buy coach bags online usa,INR,50,,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
canvas bag coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
cheap coach crossbody purses,INR,50,0.0,0.0,High,91.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.91,-36.39940000000001,Low Opportunity
cheap coach purses outlet,INR,50,0.0,0.0,Medium,56.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.56,-22.399400000000004,Low Opportunity
claire crossbody coach,INR,50,0.0,0.0,High,87.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.87,-34.799400000000006,Low Opportunity
clear coach backpack,INR,50,0.0,0.0,High,87.0,,,Least Frequently Visited,backpacks,High,1e-05,0.87,-34.799400000000006,Low Opportunity
clutch bag coach man,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack beige,INR,50,0.0,0.0,High,98.0,,,Least Frequently Visited,backpacks,High,1e-05,0.98,-39.199400000000004,Low Opportunity
coach backpack big,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack blue and white,INR,50,0.0,0.0,Low,25.0,,,Least Frequently Visited,backpacks,Low,1e-05,0.25,-9.9994,Low Opportunity
coach backpack blue leather,INR,50,0.0,0.0,High,70.0,,,Least Frequently Visited,backpacks,High,1e-05,0.7,-27.999399999999998,Low Opportunity
coach backpack colorful,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack cream,INR,50,0.0,0.0,Medium,64.0,,,Least Frequently Visited,backpacks,Medium,1e-05,0.64,-25.5994,Low Opportunity
coach backpack new york,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack original,INR,50,0.0,0.0,Medium,46.0,,,Least Frequently Visited,backpacks,Medium,1e-05,0.46,-18.399400000000004,Low Opportunity
coach backpack original price,INR,50,0.0,0.0,High,83.0,,,Least Frequently Visited,backpacks,High,1e-05,0.83,-33.199400000000004,Low Opportunity
coach backpack size,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach backpack tan,INR,500,0.0,-0.9,High,100.0,,,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
coach backpack women price,INR,50,0.0,,Low,0.0,,,Least Frequently Visited,backpacks,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach bag backpack price,INR,50,,0.0,Medium,33.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.33,-13.1994,Low Opportunity
coach bag bag,INR,500000,0.0,0.0,High,100.0,98.42,149.77,High User Searched,handbags_purses,High,0.1,1.0,-34.0,Low Opportunity
coach bag black tote,INR,500,0.0,0.0,High,100.0,79.59,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bag blue and white,INR,500,0.0,0.0,High,100.0,52.2,84.73,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bag blue tote,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag body bag,INR,5000,0.0,0.0,High,100.0,64.19,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bag designs,INR,500,0.0,0.0,High,100.0,54.77,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bag for men price,INR,50,0.0,0.0,Medium,62.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.62,-24.7994,Low Opportunity
coach bag light blue,INR,5000,0.0,0.0,High,100.0,21.7,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bag men price,INR,50,0.0,0.0,Medium,63.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.63,-25.1994,Low Opportunity
coach bag new design,INR,50,0.0,9.0,High,84.0,149.77,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.84,-33.5994,Low Opportunity
coach bag outlet store,INR,50000,0.0,0.0,High,100.0,53.06,218.23,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach bag pink crossbody,INR,50,0.0,0.0,High,84.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.84,-33.5994,Low Opportunity
coach bag sling bag,INR,5000,0.0,0.0,High,100.0,77.02,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bag tote price,INR,50,0.0,,High,77.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.77,-30.799400000000006,Low Opportunity
coach bags 2020,INR,50,0.0,0.0,High,90.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.9,-35.9994,Low Opportunity
coach bags in usa factory outlet,INR,50,0.0,0.0,Medium,41.0,69.32,256.74,Least Frequently Visited,handbags_purses,Medium,1e-05,0.41,-16.3994,Low Opportunity
coach bags latest design,INR,50,0.0,9.0,High,84.0,149.77,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.84,-33.5994,Low Opportunity
coach bags price in usa,INR,50,9.0,9.0,High,83.0,6.85,53.92,Least Frequently Visited,handbags_purses,High,1e-05,0.83,-33.199400000000004,Low Opportunity
coach bags us website,INR,50,,0.0,Low,29.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.29,-11.5994,Low Opportunity
coach bags usa factory outlet sale,INR,50,0.0,,Low,0.0,,,Least Frequently Visited,handbags_purses,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach baguette bag outlet,INR,50,0.0,0.0,Medium,38.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.38,-15.199400000000002,Low Opportunity
coach beige backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach beige handbags,INR,5000,0.0,0.0,High,100.0,22.25,97.56,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bifold card holder,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach black and white crossbody bag,INR,50,9.0,0.0,High,92.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.92,-36.799400000000006,Low Opportunity
coach black body bag,INR,50,0.0,,Medium,62.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.62,-24.7994,Low Opportunity
coach black canvas tote,INR,50,0.0,9.0,High,68.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.68,-27.1994,Low Opportunity
coach black chain crossbody,INR,50,0.0,0.0,High,88.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.88,-35.199400000000004,Low Opportunity
coach black floral wallet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach black leather crossbody purse,INR,500,0.0,0.0,High,100.0,43.2,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach black long wallet,INR,50,0.0,0.0,Medium,57.0,,,Least Frequently Visited,wallets,Medium,1e-05,0.57,-22.7994,Low Opportunity
coach black signature wallet,INR,500,0.0,9.0,High,77.0,17.12,149.77,Least Frequently Visited,wallets,High,0.0001,0.77,-30.794000000000004,Low Opportunity
coach black sling,INR,50,0.0,0.0,Medium,62.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.62,-24.7994,Low Opportunity
coach black small crossbody,INR,500,0.0,0.0,High,94.0,38.51,134.36,Least Frequently Visited,crossbody_bags,High,0.0001,0.94,-37.594,Low Opportunity
coach black small wallet,INR,500,0.0,0.0,High,100.0,17.12,113.82,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach black wallet women,INR,500,0.0,9.0,High,100.0,45.36,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach blossom wallet,INR,50,0.0,0.0,High,74.0,,,Least Frequently Visited,wallets,High,1e-05,0.74,-29.5994,Low Opportunity
coach blue and black backpack,INR,50,0.0,0.0,Low,25.0,,,Least Frequently Visited,backpacks,Low,1e-05,0.25,-9.9994,Low Opportunity
coach blue camo wallet,INR,50,0.0,0.0,High,78.0,,,Least Frequently Visited,wallets,High,1e-05,0.78,-31.199400000000004,Low Opportunity
